cd_telefone,cd_funcionario,tp_telefone,nr_telefone,dt_cadastro
3001,1001,pessoal,836-14-3267,2022-01-01
3002,1002,pessoal,651-83-2235,2022-01-02
3003,1003,pessoal,687-64-9900,2022-01-03
3004,1004,pessoal,187-89-2118,2022-01-04
3005,1005,pessoal,054-14-7470,2022-01-05
3006,1006,pessoal,967-73-1622,2022-01-06
3007,1007,pessoal,635-41-5637,2022-01-07
3008,1008,pessoal,270-69-4431,2022-01-08
3009,1009,pessoal,311-09-5258,2022-01-09
3010,1010,pessoal,349-88-1455,2022-01-10
3011,1011,pessoal,078-04-8581,2022-01-11
3012,1012,pessoal,349-55-8084,2022-01-12
3013,1013,pessoal,473-36-2507,2022-01-13
3014,1014,pessoal,177-08-2840,2022-01-14
3015,1015,pessoal,134-08-0898,2022-01-15
3016,1016,pessoal,720-16-6317,2022-01-16
3017,1017,pessoal,288-08-7271,2022-01-17
3018,1018,pessoal,726-23-5224,2022-01-18
3019,1019,pessoal,523-53-0272,2022-01-19
3020,1020,pessoal,748-64-7374,2022-01-20
3021,1021,pessoal,027-74-0362,2022-01-21
3022,1022,pessoal,780-03-4161,2022-01-22
3023,1023,pessoal,697-46-2199,2022-01-23
3024,1024,pessoal,498-16-2208,2022-01-24
3025,1025,pessoal,862-86-6373,2022-01-25
3026,1026,pessoal,194-83-0150,2022-01-26
3027,1027,pessoal,140-06-7287,2022-01-27
3028,1028,pessoal,257-54-4272,2022-01-28
3029,1029,pessoal,234-72-8734,2022-01-29
3030,1030,pessoal,452-46-8186,2022-01-30
3031,1031,pessoal,084-84-8266,2022-01-31
3032,1032,pessoal,198-66-0444,2022-02-01
3033,1033,pessoal,185-32-1140,2022-02-02
3034,1034,pessoal,307-78-1617,2022-02-03
3035,1035,pessoal,692-46-9503,2022-02-04
3036,1036,pessoal,057-59-0604,2022-02-05
3037,1037,pessoal,976-65-5726,2022-02-06
3038,1038,pessoal,535-87-1832,2022-02-07
3039,1039,pessoal,226-07-5036,2022-02-08
3040,1040,pessoal,952-61-7299,2022-02-09
3041,1041,pessoal,452-04-9122,2022-02-10
3042,1042,pessoal,355-05-2555,2022-02-11
3043,1043,pessoal,058-22-0040,2022-02-12
3044,1044,pessoal,345-55-9561,2022-02-13
3045,1045,pessoal,953-45-9714,2022-02-14
